"Caller","Callee"
"android.content.AutofillOptions.createFromParcel(Parcel)","android.content.AutofillOptions.whitelistedActivitiesForAugmentedAutofill"
"android.content.AutofillOptions.createFromParcel(Parcel)","android.content.AutofillOptions.augmentedAutofillEnabled"
"android.content.AutofillOptions.forWhitelistingItself()","android.content.AutofillOptions.augmentedAutofillEnabled"
"android.content.AutofillOptions.forWhitelistingItself()","android.content.AutofillOptions.FLAG_ADD_CLIENT_VERBOSE"
"android.content.pm.InstrumentationInfo.copyTo(ApplicationInfo)","android.content.pm.InstrumentationInfo.splitNames"
"android.content.pm.InstrumentationInfo.copyTo(ApplicationInfo)","android.content.pm.InstrumentationInfo.secondaryNativeLibraryDir"
"android.content.pm.InstrumentationInfo.copyTo(ApplicationInfo)","android.content.pm.InstrumentationInfo.secondaryCpuAbi"
"android.content.pm.InstrumentationInfo.copyTo(ApplicationInfo)","android.content.pm.InstrumentationInfo.deviceProtectedDataDir"
"android.content.pm.InstrumentationInfo.copyTo(ApplicationInfo)","android.content.pm.InstrumentationInfo.primaryCpuAbi"
"android.content.pm.InstrumentationInfo.copyTo(ApplicationInfo)","android.content.pm.InstrumentationInfo.dataDir"
"android.content.pm.InstrumentationInfo.copyTo(ApplicationInfo)","android.content.pm.InstrumentationInfo.nativeLibraryDir"
"android.content.pm.InstrumentationInfo.copyTo(ApplicationInfo)","android.content.pm.InstrumentationInfo.packageName"
"android.content.pm.InstrumentationInfo.copyTo(ApplicationInfo)","android.content.pm.InstrumentationInfo.sourceDir"
"android.content.pm.InstrumentationInfo.copyTo(ApplicationInfo)","android.content.pm.InstrumentationInfo.publicSourceDir"
"android.content.pm.InstrumentationInfo.copyTo(ApplicationInfo)","android.content.pm.InstrumentationInfo.splitPublicSourceDirs"
"android.content.pm.InstrumentationInfo.copyTo(ApplicationInfo)","android.content.pm.InstrumentationInfo.splitDependencies"
"android.content.pm.InstrumentationInfo.copyTo(ApplicationInfo)","android.content.pm.InstrumentationInfo.splitSourceDirs"
"android.content.pm.InstrumentationInfo.copyTo(ApplicationInfo)","android.content.pm.InstrumentationInfo.credentialProtectedDataDir"
"android.widget.SimpleAdapter.bindView(int, View)","android.widget.SimpleAdapter.length"
"android.widget.SimpleAdapter.performFiltering(CharSequence)","android.widget.SimpleAdapter.count"
"android.widget.SimpleAdapter.performFiltering(CharSequence)","android.widget.SimpleAdapter.values"
"android.widget.SimpleAdapter.performFiltering(CharSequence)","android.widget.SimpleAdapter.length"
"android.widget.SimpleAdapter.publishResults(CharSequence, FilterResults)","android.widget.SimpleAdapter.count"
"android.widget.SimpleAdapter.publishResults(CharSequence, FilterResults)","android.widget.SimpleAdapter.values"
"com.android.internal.util.TypedProperties.parseValue(StreamTokenizer, int)","com.android.internal.util.TypedProperties.MAX_VALUE"
"com.android.internal.util.TypedProperties.parseValue(StreamTokenizer, int)","com.android.internal.util.TypedProperties.FALSE"
"com.android.internal.util.TypedProperties.parseValue(StreamTokenizer, int)","com.android.internal.util.TypedProperties.TRUE"
"com.android.internal.util.TypedProperties.parseValue(StreamTokenizer, int)","com.android.internal.util.TypedProperties.sval"
"com.android.internal.util.TypedProperties.parseValue(StreamTokenizer, int)","com.android.internal.util.TypedProperties.MIN_VALUE"
"com.android.internal.util.TypedProperties.parseValue(StreamTokenizer, int)","com.android.internal.util.TypedProperties.TT_WORD"
"com.android.internal.util.TypedProperties.parse(Reader, Map)","com.android.internal.util.TypedProperties.sval"
"com.android.internal.util.TypedProperties.parse(Reader, Map)","com.android.internal.util.TypedProperties.TT_WORD"
"com.android.internal.util.TypedProperties.parse(Reader, Map)","com.android.internal.util.TypedProperties.TT_EOF"
"com.android.server.backup.AccountManagerBackupHelper.applyRestoredPayload(String, byte[])","com.android.server.backup.AccountManagerBackupHelper.USER_SYSTEM"
"com.android.server.backup.AccountManagerBackupHelper.getBackupPayload(String)","com.android.server.backup.AccountManagerBackupHelper.USER_SYSTEM"
"android.service.contentsuggestions.ContentSuggestionsService.provideContextImage(int, GraphicBuffer, int, Bundle)","android.service.contentsuggestions.ContentSuggestionsService.length"
"android.view.DisplayAddress.equals(Object)","android.view.DisplayAddress.mMacAddress"
"android.nfc.cardemulation.HostApduService.handleMessage(Message)","android.nfc.cardemulation.HostApduService.what"
"android.nfc.cardemulation.HostApduService.handleMessage(Message)","android.nfc.cardemulation.HostApduService.arg1"
"android.nfc.cardemulation.HostApduService.handleMessage(Message)","android.nfc.cardemulation.HostApduService.replyTo"
"com.android.internal.policy.DecorContext.getSystemService(String)","com.android.internal.policy.DecorContext.WINDOW_SERVICE"
"com.android.internal.policy.DecorContext.getSystemService(String)","com.android.internal.policy.DecorContext.CONTENT_CAPTURE_MANAGER_SERVICE"
"android.app.QueuedWork.processPendingWork()","android.app.QueuedWork.MSG_RUN"
