"Caller","Callee"
"android.text.style.IconMarginSpan.chooseHeight(CharSequence, int, int, int, int, Paint.FontMetricsInt)","android.text.style.IconMarginSpan.descent"
"android.text.style.IconMarginSpan.chooseHeight(CharSequence, int, int, int, int, Paint.FontMetricsInt)","android.text.style.IconMarginSpan.top"
"android.text.style.IconMarginSpan.chooseHeight(CharSequence, int, int, int, int, Paint.FontMetricsInt)","android.text.style.IconMarginSpan.bottom"
"android.text.style.IconMarginSpan.chooseHeight(CharSequence, int, int, int, int, Paint.FontMetricsInt)","android.text.style.IconMarginSpan.ascent"
"android.view.OrientationEventListener.onSensorChanged(SensorEvent)","android.view.OrientationEventListener.TYPE_ACCELEROMETER"
"android.view.OrientationEventListener.onSensorChanged(SensorEvent)","android.view.OrientationEventListener.values"
"com.android.internal.http.multipart.ByteArrayPartSource.getLength()","com.android.internal.http.multipart.ByteArrayPartSource.length"
"android.app.ActivityManagerNative.startActivityInPackage(int, Intent, String, IBinder, String, int, boolean)","android.app.ActivityManagerNative.descriptor"
"android.app.ActivityManagerNative.setPersistent(IBinder, boolean)","android.app.ActivityManagerNative.descriptor"
"android.app.ActivityManagerNative.unhandledBack()","android.app.ActivityManagerNative.descriptor"
"android.app.ActivityManagerNative.finishSubActivity(IBinder, String, int)","android.app.ActivityManagerNative.descriptor"
"android.app.ActivityManagerNative.getServices(int, int)","android.app.ActivityManagerNative.CREATOR"
"android.app.ActivityManagerNative.getServices(int, int)","android.app.ActivityManagerNative.RunningServiceInfo"
"android.app.ActivityManagerNative.getServices(int, int)","android.app.ActivityManagerNative.descriptor"
"android.app.ActivityManagerNative.unbindFinished(IBinder, Intent, boolean)","android.app.ActivityManagerNative.descriptor"
"android.app.ActivityManagerNative.getRequestedOrientation(IBinder)","android.app.ActivityManagerNative.descriptor"
"android.app.ActivityManagerNative.noteWakeupAlarm(IIntentSender)","android.app.ActivityManagerNative.descriptor"
"android.app.ActivityManagerNative.activityDestroyed(IBinder)","android.app.ActivityManagerNative.FLAG_ONEWAY"
"android.app.ActivityManagerNative.activityDestroyed(IBinder)","android.app.ActivityManagerNative.descriptor"
"android.app.ActivityManagerNative.finishActivity(IBinder, int, Intent)","android.app.ActivityManagerNative.descriptor"
"android.app.ActivityManagerNative.enterSafeMode()","android.app.ActivityManagerNative.descriptor"
