"Caller","Callee"
"android.content.Entity.toString()","android.content.Entity.uri"
"android.content.Entity.toString()","android.content.Entity.values"
"android.net.ProxyProperties.makeProxy()","android.net.ProxyProperties.net"
"android.net.ProxyProperties.makeProxy()","android.net.ProxyProperties.HTTP"
"android.net.ProxyProperties.makeProxy()","android.net.ProxyProperties.NO_PROXY"
"android.net.ProxyProperties.makeProxy()","android.net.ProxyProperties.Proxy"
"android.net.ProxyProperties.makeProxy()","android.net.ProxyProperties.Type"
"android.net.ProxyProperties.equals(Object)","android.net.ProxyProperties.mPort"
"android.net.ProxyProperties.equals(Object)","android.net.ProxyProperties.mHost"
"android.net.ProxyProperties.isExcluded(String)","android.net.ProxyProperties.length"
"android.net.ProxyProperties.setExclusionList(String)","android.net.ProxyProperties.length"
"com.android.internal.widget.multiwaveview.TargetDrawable.isActive()","com.android.internal.widget.multiwaveview.TargetDrawable.state_focused"
"com.android.internal.widget.multiwaveview.TargetDrawable.isActive()","com.android.internal.widget.multiwaveview.TargetDrawable.length"
"com.android.internal.widget.multiwaveview.TargetDrawable.isActive()","com.android.internal.widget.multiwaveview.TargetDrawable.R"
"com.android.internal.widget.multiwaveview.TargetDrawable.isActive()","com.android.internal.widget.multiwaveview.TargetDrawable.attr"
"com.android.internal.database.SortCursor.deactivate()","com.android.internal.database.SortCursor.length"
"com.android.internal.database.SortCursor.onMove(int, int)","com.android.internal.database.SortCursor.length"
"com.android.internal.database.SortCursor.close()","com.android.internal.database.SortCursor.length"
"com.android.internal.database.SortCursor.unregisterDataSetObserver(DataSetObserver)","com.android.internal.database.SortCursor.length"
"com.android.internal.database.SortCursor.getColumnNames()","com.android.internal.database.SortCursor.length"
"com.android.internal.database.SortCursor.registerDataSetObserver(DataSetObserver)","com.android.internal.database.SortCursor.length"
"com.android.internal.database.SortCursor.getCount()","com.android.internal.database.SortCursor.length"
"com.android.internal.database.SortCursor.requery()","com.android.internal.database.SortCursor.length"
"android.webkit.JniUtil.canSatisfyMemoryAllocation(long)","android.webkit.JniUtil.threshold"
"android.webkit.JniUtil.canSatisfyMemoryAllocation(long)","android.webkit.JniUtil.lowMemory"
"android.webkit.JniUtil.canSatisfyMemoryAllocation(long)","android.webkit.JniUtil.ACTIVITY_SERVICE"
"android.webkit.JniUtil.canSatisfyMemoryAllocation(long)","android.webkit.JniUtil.availMem"
"android.webkit.JniUtil.getAutofillQueryUrl()","android.webkit.JniUtil.Global"
"android.webkit.JniUtil.getAutofillQueryUrl()","android.webkit.JniUtil.WEB_AUTOFILL_QUERY_URL"
"android.widget.RemoteViewsAdapter.updateRemoteViews(int, boolean)","android.widget.RemoteViewsAdapter.count"
"android.widget.RemoteViewsAdapter.updateRemoteViews(int, boolean)","android.widget.RemoteViewsAdapter.mMetaData"
"android.widget.RemoteViewsAdapter.getItemId(int)","android.widget.RemoteViewsAdapter.itemId"
"android.widget.RemoteViewsAdapter.getCount()","android.widget.RemoteViewsAdapter.count"
"android.widget.RemoteViewsAdapter.onNotifyDataSetChanged()","android.widget.RemoteViewsAdapter.count"
"android.widget.RemoteViewsAdapter.getViewTypeCount()","android.widget.RemoteViewsAdapter.viewTypeCount"
"android.widget.RemoteViewsAdapter.createLoadingView(int, View, ViewGroup, Object, LayoutInflater, OnClickHandler)","android.widget.RemoteViewsAdapter.UNSPECIFIED"
"android.widget.RemoteViewsAdapter.createLoadingView(int, View, ViewGroup, Object, LayoutInflater, OnClickHandler)","android.widget.RemoteViewsAdapter.density"
"android.widget.RemoteViewsAdapter.updateTemporaryMetaData()","android.widget.RemoteViewsAdapter.viewTypeCount"
"android.widget.RemoteViewsAdapter.updateTemporaryMetaData()","android.widget.RemoteViewsAdapter.hasStableIds"
"android.widget.RemoteViewsAdapter.updateTemporaryMetaData()","android.widget.RemoteViewsAdapter.count"
"android.widget.RemoteViewsAdapter.saveRemoteViewsCache()","android.widget.RemoteViewsAdapter.count"
"android.widget.RemoteViewsAdapter.saveRemoteViewsCache()","android.widget.RemoteViewsAdapter.mIndexRemoteViews"
"android.widget.RemoteViewsAdapter.saveRemoteViewsCache()","android.widget.RemoteViewsAdapter.mMetaData"
"android.widget.RemoteViewsAdapter.hasStableIds()","android.widget.RemoteViewsAdapter.hasStableIds"
