"Caller","Callee"
"android.os.TokenWatcher.cleanup(IBinder, boolean)","java.util.WeakHashMap.remove(android.os.IBinder)"
"android.os.TokenWatcher.cleanup(IBinder, boolean)","java.util.WeakHashMap.size()"
"android.os.TokenWatcher.cleanup(IBinder, boolean)","android.os.IBinder.unlinkToDeath(android.os.TokenWatcher.Death, int)"
"android.os.TokenWatcher.cleanup(IBinder, boolean)","android.os.TokenWatcher.sendNotificationLocked(boolean)"
"android.os.TokenWatcher.binderDied()","android.os.TokenWatcher.cleanup(android.os.IBinder, boolean)"
"android.os.TokenWatcher.acquire(IBinder, String)","java.util.WeakHashMap.put(android.os.IBinder, android.os.TokenWatcher.Death)"
"android.os.TokenWatcher.acquire(IBinder, String)","java.util.WeakHashMap.size()"
"android.os.TokenWatcher.acquire(IBinder, String)","android.os.IBinder.linkToDeath(android.os.TokenWatcher.Death, int)"
"android.os.TokenWatcher.acquire(IBinder, String)","android.os.TokenWatcher.sendNotificationLocked(boolean)"
"android.os.TokenWatcher.release(IBinder)","android.os.TokenWatcher.cleanup(android.os.IBinder, boolean)"
"android.os.TokenWatcher.dump()","android.util.Log.i(java.lang.String, java.lang.String)"
"android.os.TokenWatcher.dump()","java.util.WeakHashMap.size()"
"android.os.TokenWatcher.dump()","java.util.WeakHashMap.get(android.os.IBinder)"
"android.os.TokenWatcher.dump()","java.util.WeakHashMap.keySet()"
"android.os.TokenWatcher.run()","android.os.TokenWatcher.acquired()"
"android.os.TokenWatcher.run()","android.os.TokenWatcher.released()"
"android.os.TokenWatcher.sendNotificationLocked(boolean)","android.os.Handler.removeCallbacks(java.lang.Runnable)"
"android.os.TokenWatcher.sendNotificationLocked(boolean)","android.os.Handler.post(java.lang.Runnable)"
"android.os.TokenWatcher.finalize()","android.util.Log.w(java.lang.String, java.lang.String)"
"android.os.TokenWatcher.finalize()","java.lang.Object.finalize()"
"android.os.TokenWatcher.finalize()","android.os.TokenWatcher.release(android.os.IBinder)"
"android.net.http.IdleCache.cacheConnection(HttpHost, Connection)","java.lang.Thread.start()"
"android.net.http.IdleCache.cacheConnection(HttpHost, Connection)","android.os.SystemClock.uptimeMillis()"
"android.net.http.IdleCache.run()","java.lang.Object.wait(int)"
"android.net.http.IdleCache.run()","java.lang.Thread.setName(java.lang.String)"
"android.net.http.IdleCache.run()","android.os.Process.setThreadPriority(int)"
"android.net.http.IdleCache.run()","android.net.http.IdleCache.clearIdle()"
"android.net.http.IdleCache.run()","android.net.http.HttpLog.v(java.lang.String)"
"android.net.http.IdleCache.clearIdle()","android.os.SystemClock.uptimeMillis()"
"android.net.http.IdleCache.clearIdle()","android.net.http.Connection.closeConnection()"
"android.net.http.IdleCache.clear()","android.net.http.Connection.closeConnection()"
"android.content.res.TypedArray.getInt(int, int)","android.util.Log.w(java.lang.String, java.lang.String)"
"android.content.res.TypedArray.getInt(int, int)","com.android.internal.util.XmlUtils.convertValueToInt(java.lang.CharSequence, int)"
"android.content.res.TypedArray.getInt(int, int)","android.content.res.TypedArray.getValueAt(int, android.util.TypedValue)"
"android.content.res.TypedArray.getInt(int, int)","android.util.TypedValue.coerceToString()"
"android.content.res.TypedArray.getInt(int, int)","java.lang.Integer.toHexString(int)"
"android.content.res.TypedArray.toString()","java.util.Arrays.toString(int[])"
"android.content.res.TypedArray.getFloat(int, float)","android.util.Log.w(java.lang.String, java.lang.String)"
"android.content.res.TypedArray.getFloat(int, float)","android.content.res.TypedArray.getValueAt(int, android.util.TypedValue)"
"android.content.res.TypedArray.getFloat(int, float)","java.lang.Float.parseFloat(java.lang.String)"
"android.content.res.TypedArray.getFloat(int, float)","android.util.TypedValue.coerceToString()"
"android.content.res.TypedArray.getFloat(int, float)","java.lang.CharSequence.toString()"
"android.content.res.TypedArray.getFloat(int, float)","java.lang.Float.intBitsToFloat(int)"
"android.content.res.TypedArray.getFloat(int, float)","java.lang.Integer.toHexString(int)"
"android.content.res.TypedArray.getColorStateList(int)","android.content.res.TypedArray.getValueAt(int, android.util.TypedValue)"
"android.content.res.TypedArray.getColorStateList(int)","android.content.res.Resources.loadColorStateList(android.util.TypedValue, int)"
"android.content.res.TypedArray.getBoolean(int, boolean)","android.util.Log.w(java.lang.String, java.lang.String)"
"android.content.res.TypedArray.getBoolean(int, boolean)","android.content.res.TypedArray.getValueAt(int, android.util.TypedValue)"
"android.content.res.TypedArray.getBoolean(int, boolean)","android.util.TypedValue.coerceToString()"
"android.content.res.TypedArray.getBoolean(int, boolean)","java.lang.Integer.toHexString(int)"
"android.content.res.TypedArray.getBoolean(int, boolean)","com.android.internal.util.XmlUtils.convertValueToBoolean(java.lang.CharSequence, boolean)"
"android.content.res.TypedArray.getDimension(int, float)","android.util.TypedValue.complexToDimension(int, android.util.DisplayMetrics)"
"android.content.res.TypedArray.getDimension(int, float)","java.lang.Integer.toHexString(int)"
